mjd_model,mjd_observed,elapsed_seconds,residual_us,glitch_residual_us,red_noise_us,white_noise_us,phase_model_cycles,phase_true_cycles
60414.5,60414.50000000006,1252800.0,5.178279290645158,-0.0,-10.346743820651875,15.525023111297033,14029103.0993842,14029103.0993842
60415.0,60415.00000000009,1296000.0,7.4930326486882,-0.0,47.48859388116479,-39.99556123247659,14512864.838524876,14512864.838524876
60415.5,60415.50000000204,1339200.0,176.20655988688824,-0.0,107.48078408961896,68.72577579726929,14996626.548552208,14996626.548552208
60416.0,60416.000000001535,1382400.0,132.80143913036557,-0.0,141.28220027745783,-8.480761147092254,15480388.229466192,15480388.229466192
60416.5,60416.500000002445,1425600.0,211.1259930682623,-0.0,170.06028773751984,41.06570533074242,15964149.881266836,15964149.881266836
60417.0,60417.00000000238,1468800.0,205.2786895981358,-0.0,199.72097618872274,5.557713409413056,16447911.503954133,16447911.503954133
60417.5,60417.499999999665,1512000.0,-28.79978634033169,-216.00039910517066,227.92826309959878,-40.72765033475981,16931673.097528085,16931673.099946897
60418.0,60417.99999998876,1555200.0,-971.0796392433818,-1296.0028052951302,259.16132200035355,65.7618440513946,17415434.6619887,17415434.67650158
60418.5,60418.49999997529,1598400.0,-2134.6457786587866,-2376.00534147675,296.12119422586954,-54.7616314079065,17899196.197335966,17899196.22394291
60419.0,60418.99999996405,1641600.0,-3106.3816451968637,-3456.0080076500526,333.19356927823253,16.432793174956203,18382957.703569885,18382957.742270894
60419.5,60419.499999951884,1684800.0,-4157.005696958184,-4536.010803815063,366.53163519482365,12.473471662055687,18866719.180690467,18866719.231485542
60420.0,60419.99999994011,1728000.0,-5174.4836044105605,-5616.013397302579,419.5266939594428,22.00309893257535,19350480.6286977,19350480.691586837
60420.5,60420.49999992837,1771200.0,-6188.707216470915,-6696.016453451052,451.4392351027122,55.870001877425594,19834242.04759159,19834242.12257479
60421.0,60420.99999991556,1814400.0,-7295.59799532413,-7776.019639591304,455.4942467490788,24.92739751809573,20318003.43737214,20318003.524449408
60421.5,60421.499999901585,1857600.0,-8503.183858651028,-8856.022955723356,424.6209823426515,-71.78188527032317,20801764.79803934,20801764.897210672
60422.0,60421.99999988915,1900800.0,-9577.597314675517,-9936.026401847235,389.72864298860856,-31.29955581689074,21285526.129593197,21285526.240858596
60422.5,60422.499999876774,1944000.0,-10646.470253105783,-11016.029977962957,346.08154607845387,23.47817877872125,21769287.432033714,21769287.555393178
60423.0,60422.99999986306,1987200.0,-11831.634227911569,-12096.033351401209,313.2747189043804,-48.87559541474086,22253048.705360886,22253048.84081441
60423.5,60423.49999985034,2030400.0,-12930.71485751417,-13176.037187500682,298.50968123905136,-53.18735125253823,22736809.94957471,22736810.0971223
60424.0,60423.99999983865,2073600.0,-13941.012052548389,-14256.041153592068,274.68435010204234,40.344750941637635,23220571.16467519,23220571.324316848
60424.5,60424.4999998254,2116800.0,-15085.453355989413,-15336.0452496754,264.1844073961092,-13.592513710123114,23704332.350662332,23704332.522398055
60425.0,60424.99999981208,2160000.0,-16236.794595086125,-16416.049475750693,231.1566659620241,-51.901785297454616,24188093.50753613,24188093.691365916
60425.5,60425.49999979882,2203200.0,-17382.223958828516,-17496.05383181798,168.91024991831725,-55.08037692885299,24671854.635296576,24671854.83122043
60426.0,60425.99999978626,2246400.0,-18467.156984275218,-18576.05798520781,109.5218918115364,-0.6208908789427325,25155615.733943686,25155615.9419616
60426.5,60426.49999977273,2289600.0,-19636.083798815118,-19656.06260125912,66.6750164295588,-46.6962139855547,25639376.803477447,25639377.02358943
60427.0,60426.99999975995,2332800.0,-20740.220171159275,-20736.067347302494,9.242602064106576,-13.39542592088823,26123137.843897864,26123138.07610391
60427.5,60427.4999997471,2376000.0,-21850.501783284486,-21816.07222333795,-30.08126467262285,-4.348295273917221,26606898.855204936,26606899.09950505
60428.0,60427.99999973486,2419200.0,-22908.40982468582,-22896.077229365503,-50.35575825044361,38.02316293012729,27090659.83739867,27090660.09379285
60428.5,60428.499999722015,2462400.0,-24017.630631650194,-23976.082365385195,-53.05268893607888,11.50442267107788,27574420.790479057,27574421.0589673
60429.0,60428.99999970991,2505600.0,-25064.027588886496,-25056.08729872745,-55.50393344763615,47.563643288588565,28058181.714446098,28058181.995028403
60429.5,60429.49999969646,2548800.0,-26225.81951420632,-26136.092694731447,-63.72175263350231,-26.0050668413675,28541942.609299798,28541942.90197617
60430.0,60429.99999968456,2592000.0,-27254.465165954116,-27216.098220727647,-61.03090613187334,22.663960905404153,29025703.475040153,29025703.77981059
